Type	Name	RefSeq	INSDC	Size	GC	Protein	rRNA	tRNA	Other_RNA	Gene	Pseudogene
Chr	1	NC_000001.11	CM000663.2	248.96	42.3	11321	17	90	4457	5109	1386
Chr	2	NC_000002.12	CM000664.2	242.19	40.3	8291	0	7	3728	3871	1181
Chr	3	NC_000003.12	CM000665.2	198.3	39.7	7150	0	4	2782	2990	900
Chr	4	NC_000004.12	CM000666.2	190.22	38.3	4599	0	1	2193	2441	803
Chr	5	NC_000005.10	CM000667.2	181.54	39.5	4729	0	17	2194	2592	778
Chr	6	NC_000006.12	CM000668.2	170.81	39.6	5522	0	138	2453	3005	882
Chr	7	NC_000007.14	CM000669.2	159.35	40.7	5112	0	22	2330	2792	911
Chr	8	NC_000008.11	CM000670.2	145.14	40.2	4199	0	4	2011	2165	671
Chr	9	NC_000009.12	CM000671.2	138.4	42.3	4699	0	3	2222	2270	706
Chr	10	NC_000010.11	CM000672.2	133.8	41.6	5429	0	3	2133	2179	640
Chr	11	NC_000011.10	CM000673.2	135.09	41.6	6394	0	13	2336	2924	829
Chr	12	NC_000012.12	CM000674.2	133.28	40.8	5975	0	9	2457	2526	691
Chr	13	NC_000013.11	CM000675.2	114.36	40.2	2056	0	4	1243	1385	475
Chr	14	NC_000014.9	CM000676.2	107.04	42.2	3501	0	18	1704	2065	585
Chr	15	NC_000015.10	CM000677.2	101.99	43.4	3623	0	9	1810	1824	554
Chr	16	NC_000016.10	CM000678.2	90.34	45.1	4625	0	27	1761	1938	469
Chr	17	NC_000017.11	CM000679.2	83.26	45.3	6226	0	33	2243	2450	556
Chr	18	NC_000018.10	CM000680.2	80.37	39.8	2029	0	1	996	984	295
Chr	19	NC_000019.10	CM000681.2	58.62	47.9	6750	0	6	1877	2499	523
Chr	20	NC_000020.11	CM000682.2	64.44	43.9	2904	0	0	1308	1358	338
Chr	21	NC_000021.9	CM000683.2	46.71	42.2	1297	12	1	707	777	207
Chr	22	NC_000022.11	CM000684.2	50.82	47.7	2582	0	0	1014	1189	354
Chr	X	NC_000023.11	CM000685.2	156.04	39.6	3801	0	4	1265	2186	875
Chr	Y	NC_000024.10	CM000686.2	57.23	45.4	324	0	0	311	580	392
